Product Name,Category,Brand,Calories (per 100gm ),Carbohydrates (g),Cholestrol(mg),Calcium(mg),Sodium(mg),Protein (g),Sugar (g),Fats (g),Ingredients
Maggie,Instant Noodles,Maggie,384,59.6,0,0,1028.3,8.2,1.8,12.5,"Refined Wheat flour (Maida), Palm oil, Salt, Wheat gluten, Mineral (Calcium carbonate), Thickeners (508 & 412), Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA TASTEMAKERÂ®: Hydrolysed groundnut (peanut) protein, Mixed spices {(23.6%) (Dehydrated onion, Coriander powder, Red chilli powder (3%), Turmeric powder, Dried garlic (2.5%), Cumin powder, Aniseed powder, Fenugreek powder, Ginger powder, Black pepper powder (0.4%), Clove powder (0.1 %), Green cardamom powder (0.1 %) & Nutmeg powder)), Noodle powder [Refined Wheat flour (Maida), Palm oil, Salt, Wheat gluten, Mineral (Calcium carbonate), Thickeners (508 & 412), Acidity regulators (501(i) & 500(i)) & Humectant (451(i)), Sugar, Edible starch, Palm oil, Thickener (508), Caramel salt mix [Salt, Colour (150d) & Palm oil), Acidity regulators (330 & 500(ii)), Salt, Flavour enhancer (635) and Mineral (Ferric pyrophosphate)"
Lays,Snacks,Lays,553,52.6,0,0,510,6.7,0.6,35.1,"Potatoes, Edible Vegetable Oil (Palmolein, Corn Oil, Sunflower Oil), Salt"
Dairy Milk,Chocolate,Cadbury,532,60.4,20.7,0,129,7.8,57,29.2,"Milk Solids, Sugar, Cocoa Solids, Cocoa Butter, Emulsifiers (442, 476), Flavourings (Vanillin)."
Dark Chocolate,Chocolate,Amul,557,57.3,0,0,0,6,0,33.7,"Cocoa Solids, Sugar, Cocoa Butter, Emulsifier (INS 322, derived from Soy)."
Good Day,Biscuits,Britannia,494,67,6.5,0,0,7,22,22,"Refined Wheat Flour, Sugar, Edible Vegetable Oil, Butter (6.8%), Invert Syrup, Leavening Agents (503(ii), 500(ii)), Salt, Emulsifiers (E322, E471), Dough Conditioners (E500, E450), Artificial Flavoring Substances (Butter)"
Frooti,Beverage,Frooti,63.2,15.8,0,0,26.1,0,15.6,0,"Water, Mango Pulp (19.5%), Sugar, Acidity Regulator (330), Preservatives (202, 211), Antioxidant (300), Stabilizer (440), Salt, Natural Color (160a), Natural Flavouring Substances."
Coke,Beverage,Coca-Cola,44,10.9,0,0,8.5,0,10.6,0,"Carbonated Water, Sugar, Colour (150d), Acidity Regulator (338), Natural Flavouring Substances (Caffeine), Preservative (211)."
Pepsi,Beverage,PepsiCo,43,10.9,0,0,3,0,10.9,0,"Carbonated Water, Sugar, Caffeine, Caramel Color (150d), Phosphoric Acid, Citric Acid, Natural Flavor, Preservative (E211)"
Maza,Beverage,Maza,63,14.9,0,0,21.9,0,14.9,0,"Water, Mango Pulp (20%), Sugar, Acidity Regulator (Citric Acid), Preservatives (E202), Stabilizer (E440), Natural Flavor."
Slice,Beverage,-,50,12.5,0,0,7.3,0,10.8,0,"Water, Mango Pulp (20%), Sugar, Acidity Regulator (Citric Acid), Preservatives (E202), Natural Flavoring Substances, Stabilizer (E440)."
